seed,arm,n,H_first,H_last,H_mean,H_min,o_mean,corrOH,final_revKL,collapsed
1337,direct,12,2.672,0.013,0.344,0.010,0.583,-0.501,20.62,1
2024,direct,12,0.014,0.026,0.087,0.000,0.521,-0.501,3.17,1
42,direct,12,0.011,0.000,0.294,0.000,0.573,-0.093,24.50,1
7,direct,12,1.391,0.299,0.467,0.022,0.479,-0.011,-125.50,1
999,direct,12,0.001,0.049,0.158,0.000,0.510,-0.279,4.62,1
1337,ladder,12,1.867,0.034,0.444,0.011,0.573,-0.186,50.00,1
2024,ladder,12,0.039,0.006,0.184,0.000,0.500,-0.068,-16.00,1
42,ladder,12,0.005,0.000,0.274,0.000,0.552,0.275,-5.81,1
7,ladder,12,0.160,0.017,0.536,0.002,0.427,0.079,46.25,1
999,ladder,12,0.002,0.065,0.649,0.000,0.479,-0.665,-13.94,1
1337,probe,12,2.875,0.032,0.332,0.007,0.604,-0.592,-4.62,1
2024,probe,12,0.014,0.031,0.168,0.000,0.490,-0.691,-23.12,1
42,probe,12,0.023,0.000,0.239,0.000,0.573,-0.315,32.00,1
7,probe,12,1.312,0.455,0.489,0.004,0.458,-0.111,-145.00,1
999,probe,12,0.001,0.179,0.194,0.000,0.500,-0.140,15.69,1
