seed,arm,n,H_first,H_last,H_mean,H_min,M10_last,CT_last,d1,corrMH,final_loss,collapsed
1337,naive,15,0.011,0.019,0.061,0.000,0.010,1.55,0.38,-0.035,-0.83,1
2024,naive,15,0.004,0.001,0.086,0.000,0.006,2.12,0.39,-0.010,-1.68,1
42,naive,15,0.020,0.006,0.113,0.000,0.003,1.85,0.34,0.308,-1.38,1
1337,replay,15,0.011,0.000,0.033,0.000,0.000,1.16,0.47,0.120,-0.86,1
2024,replay,15,0.004,0.957,0.106,0.000,0.003,1.16,0.50,-0.115,-1.02,1
42,replay,15,0.033,0.000,0.035,0.000,0.000,0.71,0.59,-0.240,-0.08,1
1337,kl,15,0.007,0.003,0.128,0.000,0.002,1.26,0.34,-0.021,-0.37,1
2024,kl,15,0.005,0.000,0.082,0.000,0.004,1.23,0.44,-0.166,-0.41,1
42,kl,15,0.034,0.011,0.064,0.000,0.001,0.97,0.39,0.513,-0.73,1
1337,replay_kl,15,0.007,0.000,0.014,0.000,0.033,1.30,0.36,0.038,-0.39,1
2024,replay_kl,15,0.005,0.719,0.061,0.000,0.001,1.48,0.52,-0.178,-0.97,1
42,replay_kl,15,0.022,0.000,0.046,0.000,0.004,1.77,0.20,-0.274,-0.45,1
1337,stabilized,15,0.023,0.000,0.010,0.000,0.000,0.77,0.44,-0.204,-0.28,1
2024,stabilized,15,0.005,0.463,0.046,0.000,0.002,2.38,0.53,-0.132,-2.86,1
42,stabilized,15,0.031,0.000,0.034,0.000,0.002,2.09,0.39,-0.095,-1.02,1
